date,code,name,market_cap,price,open_price,high_price,low_price,gap,gap_ratio,trading_volume,institutional_volume,foreign_volume,foreign_ratio,forum_url
2022-04-05,30190,NICE평가정보,11930,19650,19600,19750,19400,50,-0.25,44864,-58,533,38.48,https://finance.naver.com/item/board.naver?code=030190
2022-04-05,3380,하림지주,11761,10500,10700,10700,10400,150,-1.41,202513,-5170,-46071,7.29,https://finance.naver.com/item/board.naver?code=003380
2022-04-05,141080,레고켐바이오,11591,47800,47200,48050,46750,850,1.81,132816,37240,-28242,8.56,https://finance.naver.com/item/board.naver?code=141080
2022-04-05,137400,피엔티,11507,50600,52000,52000,50300,900,-1.75,209812,-9366,-57733,8.52,https://finance.naver.com/item/board.naver?code=137400
2022-04-06,247540,에코프로비엠,97133,423800,405100,423800,403000,8900,2.15,323303,12381,-68297,12.55,https://finance.naver.com/item/board.naver?code=247540
2022-04-06,91990,셀트리온헬스케어,96758,62400,64000,64200,62100,2100,-3.26,675989,-294127,-89551,15.25,https://finance.naver.com/item/board.naver?code=091990
2022-04-06,66970,엘앤에프,82997,231000,223800,233000,223800,700,0.3,519344,-46959,96214,21.11,https://finance.naver.com/item/board.naver?code=066970
2022-04-06,263750,펄어비스,68539,103500,104200,107000,102300,2300,-2.17,703951,-36256,-117056,13.54,https://finance.naver.com/item/board.naver?code=263750
2022-04-06,293490,카카오게임즈,61426,78800,79500,81000,78200,700,-0.88,865986,-25350,18550,10.78,https://finance.naver.com/item/board.naver?code=293490
2022-04-06,112040,위메이드,36192,107800,104000,113500,103300,2100,1.99,1586667,-5381,107567,6.82,https://finance.naver.com/item/board.naver?code=112040
2022-04-06,68760,셀트리온제약,33994,93000,95400,95500,92800,3300,-3.43,108686,-22503,-8823,7.36,https://finance.naver.com/item/board.naver?code=068760
2022-04-06,278280,천보,33400,334000,333600,338300,327200,5900,-1.74,107280,-29172,1292,10.2,https://finance.naver.com/item/board.naver?code=278280
2022-04-06,28300,HLB,31876,29900,30700,30700,29800,950,-3.08,570574,-135467,-154998,13.27,https://finance.naver.com/item/board.naver?code=028300
2022-04-06,35760,CJ ENM,28376,129400,132500,132500,129400,3200,-2.41,81019,-31445,-6521,21.38,https://finance.naver.com/item/board.naver?code=035760
2022-04-06,253450,스튜디오드래곤,27013,90000,91100,91300,89500,1600,-1.75,115980,-56500,51668,10.91,https://finance.naver.com/item/board.naver?code=253450
2022-04-06,58470,리노공업,26628,174700,177500,179900,174600,5500,-3.05,60320,-15008,-22026,47.89,https://finance.naver.com/item/board.naver?code=058470
2022-04-06,96530,씨젠,25930,49650,50900,50900,49650,1250,-2.46,417163,-62087,-148764,17.03,https://finance.naver.com/item/board.naver?code=096530
2022-04-06,86520,에코프로,24335,101500,100200,103000,99200,100,-0.1,849622,-13482,-30807,10.02,https://finance.naver.com/item/board.naver?code=086520
2022-04-06,108320,LX세미콘,22786,140100,144600,145600,139500,6900,-4.69,249737,-38243,-23027,34.99,https://finance.naver.com/item/board.naver?code=108320
2022-04-06,196170,알테오젠,22433,52600,55500,55500,51300,3800,-6.74,506234,-89105,-75541,11.98,https://finance.naver.com/item/board.naver?code=196170
2022-04-06,35900,JYP Ent.,22221,62600,61300,63200,60900,600,0.97,516901,11249,58758,25.66,https://finance.naver.com/item/board.naver?code=035900
2022-04-06,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,43.77,https://finance.naver.com/item/board.naver?code=048260
2022-04-06,41510,에스엠,19114,80400,79500,81900,79000,100,-0.12,556190,52675,4665,17.34,https://finance.naver.com/item/board.naver?code=041510
2022-04-06,5290,동진쎄미켐,19023,37000,37200,37400,36850,850,-2.25,577610,-100850,100391,8.32,https://finance.naver.com/item/board.naver?code=005290
2022-04-06,240810,원익IPS,18308,37300,37500,38050,37250,850,-2.23,187863,-46126,2987,19.44,https://finance.naver.com/item/board.naver?code=240810
2022-04-06,357780,솔브레인,18225,234300,237000,237100,234100,5700,-2.37,15518,-4832,-2669,27.75,https://finance.naver.com/item/board.naver?code=357780
2022-04-06,25900,동화기업,18181,90000,87500,90600,86300,1600,1.81,176851,44629,-12387,42.97,https://finance.naver.com/item/board.naver?code=025900
2022-04-06,237690,에스티팜,18113,96300,97300,97300,95600,1600,-1.63,89119,-22000,-5666,0.0,https://finance.naver.com/item/board.naver?code=237690
2022-04-06,222800,심텍,17042,53500,54000,55000,53300,0,0.0,777952,-16179,-239137,15.97,https://finance.naver.com/item/board.naver?code=222800
2022-04-06,299900,위지윅스튜디오,16943,39650,39300,40350,39250,100,-0.25,193599,4759,-6205,6.52,https://finance.naver.com/item/board.naver?code=299900
2022-04-06,67160,아프리카TV,16840,146500,150200,150800,145000,5500,-3.62,162800,-18969,-40043,40.38,https://finance.naver.com/item/board.naver?code=067160
2022-04-06,34230,파라다이스,16051,17650,17650,17850,17500,50,-0.28,809047,-209071,9591,5.29,https://finance.naver.com/item/board.naver?code=034230
2022-04-06,78340,컴투스,15633,121500,114500,122100,113600,6200,5.38,427097,19053,51724,11.17,https://finance.naver.com/item/board.naver?code=078340
2022-04-06,214150,클래시스,14931,23050,22050,23500,22000,750,3.36,736180,-15093,102038,65.49,https://finance.naver.com/item/board.naver?code=214150
2022-04-06,78600,대주전자재료,14908,96300,96500,98300,95200,1900,-1.93,202757,-14597,-53927,13.45,https://finance.naver.com/item/board.naver?code=078600
2022-04-06,64760,티씨케이,14547,124600,125200,126000,122800,3100,-2.43,40574,-387,-11606,68.01,https://finance.naver.com/item/board.naver?code=064760
2022-04-06,348370,엔켐,14422,94800,95000,95900,92700,1600,-1.66,198682,-47707,16739,1.74,https://finance.naver.com/item/board.naver?code=348370
2022-04-06,145020,휴젤,14132,114100,113100,116300,112400,2600,2.33,288403,26939,-43913,67.42,https://finance.naver.com/item/board.naver?code=145020
2022-04-06,56190,에스에프에이,13986,38950,39350,39850,38700,850,-2.14,109266,-7326,8514,14.97,https://finance.naver.com/item/board.naver?code=056190
2022-04-06,39030,이오테크닉스,13946,113200,112500,114100,111100,1600,-1.39,95631,9847,-22422,15.67,https://finance.naver.com/item/board.naver?code=039030
2022-04-06,32500,케이엠더블유,13240,33250,34250,34400,33250,1500,-4.32,230099,-35670,-53455,3.68,https://finance.naver.com/item/board.naver?code=032500
2022-04-06,195940,HK이노엔,12573,43500,44750,44800,43400,1500,-3.33,175367,-28630,-40576,3.49,https://finance.naver.com/item/board.naver?code=195940
2022-04-06,98460,고영,12461,18150,18300,18600,18000,400,-2.16,210737,-69735,-10649,63.16,https://finance.naver.com/item/board.naver?code=098460
2022-04-06,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.24,https://finance.naver.com/item/board.naver?code=215600
2022-04-06,298380,에이비엘바이오,12205,25850,25750,26000,25200,50,-0.19,370206,-28527,10986,2.79,https://finance.naver.com/item/board.naver?code=298380
2022-04-06,122870,와이지엔터테인먼트,11885,64400,64800,65800,64300,1400,-2.13,487740,-110874,107180,7.12,https://finance.naver.com/item/board.naver?code=122870
2022-04-06,215200,메가스터디교육,11874,100100,100500,100600,98900,500,-0.5,38026,-13137,12637,31.84,https://finance.naver.com/item/board.naver?code=215200
2022-04-06,376300,디어유,11868,54000,55800,56200,53300,2400,-4.26,269201,-54264,26853,1.6,https://finance.naver.com/item/board.naver?code=376300
2022-04-06,30190,NICE평가정보,11809,19450,19500,19550,19150,200,-1.02,99545,-40953,23665,38.49,https://finance.naver.com/item/board.naver?code=030190
2022-04-06,36930,주성엔지니어링,11773,24400,24500,24800,24150,500,-2.01,724484,-125920,186176,13.57,https://finance.naver.com/item/board.naver?code=036930
2022-04-06,53800,안랩,11616,116000,121600,122200,115100,5600,-4.61,358262,-2288,-13450,31.16,https://finance.naver.com/item/board.naver?code=053800
2022-04-06,3380,하림지주,11537,10300,10400,10400,10050,200,-1.9,379906,-87818,-51278,7.23,https://finance.naver.com/item/board.naver?code=003380
2022-04-06,48410,현대바이오,11442,29100,29300,29750,28800,100,-0.34,694800,-46576,18712,2.76,https://finance.naver.com/item/board.naver?code=048410
2022-04-06,137400,피엔티,11416,50200,50400,51400,49800,400,-0.79,172968,-29270,7752,8.27,https://finance.naver.com/item/board.naver?code=137400
2022-04-07,247540,에코프로비엠,98577,430100,443700,450200,419400,6300,1.49,874017,-59587,-203744,12.27,https://finance.naver.com/item/board.naver?code=247540
2022-04-07,91990,셀트리온헬스케어,96758,62400,62100,63300,61400,0,0.0,499217,-15053,83834,15.2,https://finance.naver.com/item/board.naver?code=091990
2022-04-07,66970,엘앤에프,84255,234500,229000,237500,224100,3500,1.52,650384,62229,36440,21.27,https://finance.naver.com/item/board.naver?code=066970
2022-04-07,263750,펄어비스,68208,103000,102000,104800,101600,500,-0.48,409174,-14420,3375,13.36,https://finance.naver.com/item/board.naver?code=263750
2022-04-07,293490,카카오게임즈,59165,75900,77900,78100,75600,2900,-3.68,673776,-112535,-34227,10.82,https://finance.naver.com/item/board.naver?code=293490
2022-04-07,112040,위메이드,34111,101600,106100,106100,101400,6200,-5.75,759723,976,-335816,7.15,https://finance.naver.com/item/board.naver?code=112040
2022-04-07,68760,셀트리온제약,33446,91500,92400,93600,91300,1500,-1.61,78795,-11419,11037,7.34,https://finance.naver.com/item/board.naver?code=068760
2022-04-07,278280,천보,32040,320400,330200,330200,318900,13600,-4.07,121302,-22980,-11760,10.33,https://finance.naver.com/item/board.naver?code=278280
2022-04-07,28300,HLB,31930,29950,29500,30000,29250,50,0.17,417525,-12051,-53536,13.16,https://finance.naver.com/item/board.naver?code=028300
2022-04-07,35760,CJ ENM,27324,124600,128600,128700,124600,4800,-3.71,136811,-51286,-36004,21.35,https://finance.naver.com/item/board.naver?code=035760
2022-04-07,253450,스튜디오드래곤,26773,89200,89400,89400,88300,800,-0.89,69069,-3395,4171,11.04,https://finance.naver.com/item/board.naver?code=253450
2022-04-07,58470,리노공업,26613,174600,172500,175600,170000,100,-0.06,67015,8794,-15144,47.74,https://finance.naver.com/item/board.naver?code=058470
2022-04-07,96530,씨젠,25643,49100,49100,49850,49050,550,-1.11,274297,21158,-21666,16.74,https://finance.naver.com/item/board.naver?code=096530
2022-04-07,86520,에코프로,23496,98000,103600,105300,97000,3500,-3.45,1025886,28089,-243313,9.89,https://finance.naver.com/item/board.naver?code=086520
2022-04-07,108320,LX세미콘,23177,142500,138100,142600,137300,2400,1.71,173224,8595,29108,34.84,https://finance.naver.com/item/board.naver?code=108320
2022-04-07,196170,알테오젠,22347,52400,51500,53200,51400,200,-0.38,201395,5040,37458,11.79,https://finance.naver.com/item/board.naver?code=196170
2022-04-07,35900,JYP Ent.,22221,62600,62100,63100,61700,0,0.0,370240,-39760,37496,25.86,https://finance.naver.com/item/board.naver?code=035900
2022-04-07,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,43.77,https://finance.naver.com/item/board.naver?code=048260
2022-04-07,5290,동진쎄미켐,18998,36950,36300,37250,36300,50,-0.14,463449,-4881,56856,8.52,https://finance.naver.com/item/board.naver?code=005290
2022-04-07,41510,에스엠,18519,77900,79600,80300,77500,2500,-3.11,565267,-30259,-53185,17.36,https://finance.naver.com/item/board.naver?code=041510
2022-04-07,357780,솔브레인,18389,236400,233900,237800,231000,2100,0.9,15293,1293,1327,27.72,https://finance.naver.com/item/board.naver?code=357780
2022-04-07,240810,원익IPS,18333,37350,37100,37450,36500,50,0.13,159132,10938,-13994,19.42,https://finance.naver.com/item/board.naver?code=240810
2022-04-07,237690,에스티팜,17812,94700,95300,95600,94100,1600,-1.66,61184,-8352,-6772,0.0,https://finance.naver.com/item/board.naver?code=237690
2022-04-07,25900,동화기업,17575,87000,88700,90900,86200,3000,-3.33,150559,3603,4007,42.93,https://finance.naver.com/item/board.naver?code=025900
2022-04-07,222800,심텍,17424,54700,52900,55300,52500,1200,2.24,605455,51743,35743,15.25,https://finance.naver.com/item/board.naver?code=222800
2022-04-07,299900,위지윅스튜디오,16260,38050,39600,39600,37750,1600,-4.04,284447,-9592,-48554,6.51,https://finance.naver.com/item/board.naver?code=299900
2022-04-07,67160,아프리카TV,16254,141400,144800,145400,141300,5100,-3.48,132554,-10518,-29844,40.04,https://finance.naver.com/item/board.naver?code=067160
2022-04-07,34230,파라다이스,15415,16950,17450,17450,16850,700,-3.97,920548,-226682,-78092,5.34,https://finance.naver.com/item/board.naver?code=034230
2022-04-07,78340,컴투스,14989,116500,119500,122000,116300,5000,-4.12,197899,4389,-33923,11.6,https://finance.naver.com/item/board.naver?code=078340
2022-04-07,214150,클래시스,14607,22550,22700,22900,22300,500,-2.17,342787,-7825,7314,65.64,https://finance.naver.com/item/board.naver?code=214150
2022-04-07,64760,티씨케이,14570,124800,122200,125400,122000,200,0.16,28830,2438,-409,67.81,https://finance.naver.com/item/board.naver?code=064760
2022-04-07,78600,대주전자재료,14474,93500,94600,95000,92500,2800,-2.91,163526,-511,-13656,12.98,https://finance.naver.com/item/board.naver?code=078600
2022-04-07,348370,엔켐,14316,94100,92500,95400,91800,700,-0.74,135841,6125,-4772,1.85,https://finance.naver.com/item/board.naver?code=348370
2022-04-07,39030,이오테크닉스,14069,114200,112100,116200,109900,1000,0.88,81886,5651,7933,15.38,https://finance.naver.com/item/board.naver?code=039030
2022-04-07,56190,에스에프에이,14022,39050,38950,39750,38600,100,0.26,76832,21029,-15267,15.0,https://finance.naver.com/item/board.naver?code=056190
2022-04-07,145020,휴젤,13810,111500,114300,116800,110500,2600,-2.28,168011,-9003,-16091,67.08,https://finance.naver.com/item/board.naver?code=145020
2022-04-07,32500,케이엠더블유,13101,32900,32650,33300,32650,350,-1.05,132462,-16866,-4538,3.55,https://finance.naver.com/item/board.naver?code=032500
2022-04-07,215600,신라젠,12447,12100,0,0,0,0,0.0,0,0,0,2.24,https://finance.naver.com/item/board.naver?code=215600
2022-04-07,195940,HK이노엔,12284,42500,43000,43050,42100,1000,-2.3,114992,-15075,1671,3.24,https://finance.naver.com/item/board.naver?code=195940
2022-04-07,298380,에이비엘바이오,12276,26000,25650,26850,25500,150,0.58,645159,19563,12467,2.82,https://finance.naver.com/item/board.naver?code=298380
2022-04-07,98460,고영,12118,17650,17950,17950,17500,500,-2.75,215405,548,-47961,63.15,https://finance.naver.com/item/board.naver?code=098460
2022-04-07,215200,메가스터디교육,12040,101500,100100,102500,99000,1400,1.4,73175,-1299,3266,31.95,https://finance.naver.com/item/board.naver?code=215200
2022-04-07,30190,NICE평가정보,11961,19700,19300,19750,19200,250,1.29,95453,5427,20088,38.52,https://finance.naver.com/item/board.naver?code=030190
2022-04-07,36930,주성엔지니어링,11869,24600,24300,24800,23900,200,0.82,605778,5587,-71667,14.01,https://finance.naver.com/item/board.naver?code=036930
2022-04-07,376300,디어유,11780,53600,53600,54600,52400,400,-0.74,137370,-9578,-28976,1.72,https://finance.naver.com/item/board.naver?code=376300
2022-04-07,48410,현대바이오,11520,29300,29100,29400,28850,200,0.69,593547,-300,9793,2.9,https://finance.naver.com/item/board.naver?code=048410
